GEOID,exc_jobs,exc_hospitals,exc_groceries,exc_schools,composite_deficit,disadvantage_z,posterior_mean_jobs,composite_rank
06073017046,0.0,0.0,1.0,1.0,0.5,-0.879154538632851,3620.0675818015393,136
06073009104,0.0,1.0,1.0,0.0,0.5,-0.4666120397313889,8409.49786104015,137
06073017049,0.0,1.0,0.0,1.0,0.5,0.1094565783484378,23962.126213901895,138
06073017045,0.0,1.0,0.0,1.0,0.5,-1.338082440507062,4550.545312659123,139
06073008371,0.0,0.0,1.0,1.0,0.5,-0.6752741101156521,47774.409430530024,140
06073017065,0.0,1.0,1.0,0.0,0.5,-0.9403079765113778,3818.9755357368426,141
06073017070,0.0,1.0,1.0,0.0,0.5,-0.8711906467544731,22757.55651538551,142
06073008373,0.0,0.0,1.0,1.0,0.5,-0.9738709831647846,21238.6434846029,143
06073017057,0.0,0.0,1.0,1.0,0.5,-0.7305858693136492,4492.025881837953,144
06073008350,0.0,0.0,1.0,1.0,0.5,-0.0243406420802063,49081.39026355281,145
06073008346,0.0,0.0,1.0,1.0,0.5,-0.9266307155489254,35754.535846195744,146
06073018515,0.0,0.0,1.0,1.0,0.5,-0.1725864238392452,5283.105050122617,147
06073008339,0.0,0.0,1.0,1.0,0.5,1.6423261133730538,42472.85537857949,148
06073007602,0.0,0.0,1.0,1.0,0.5,0.879695363291029,3118.6825123895937,149
06073017054,0.0,0.0,1.0,1.0,0.5,-0.5728276018907468,3022.9545253928322,150
06073013909,0.0,1.0,0.0,1.0,0.5,0.1310163528645237,2866.509658065886,151
06073009704,0.0,1.0,1.0,0.0,0.5,-0.1087675787794107,3262.3270257540817,152
06073013425,0.0,0.0,1.0,1.0,0.5,-1.05250743222512,5520.166907833082,153
06073017064,0.0,1.0,1.0,0.0,0.5,-1.2173349478898543,22632.423320349793,154
06073010018,0.0,0.0,1.0,1.0,0.5,-0.5908266039180824,2308.62085098205,155
06073013411,0.0,1.0,1.0,0.0,0.5,-0.6658585014237673,3211.638057072279,156
06073013903,0.0,1.0,0.0,1.0,0.5,-0.0374713519008668,2989.1838908006016,157
06073013321,0.0,1.0,1.0,0.0,0.5,-0.4280556418546267,4761.739775664404,158
06073013319,0.0,1.0,1.0,0.0,0.5,-0.4443210695475888,5690.1599783656475,159
06073022102,0.0,0.0,1.0,1.0,0.5,-0.4270187345033209,16317.941184991372,160
06073022101,0.0,0.0,1.0,1.0,0.5,-0.7972899879189118,32844.419753842274,161
06073009706,0.0,1.0,1.0,0.0,0.5,-0.225027830996964,2644.1265992768726,162
06073016503,0.0,1.0,0.0,1.0,0.5,0.0067644456029936,22243.170184224935,163
06073016703,0.0,1.0,0.0,1.0,0.5,-0.1744987885351011,5283.34228910184,164
06073017006,0.0,0.0,1.0,1.0,0.5,-0.6742525658875341,4102.005694004779,165
06073019808,0.06246875,0.0,1.0,0.0,0.2656171875,-0.2251868008373201,1414.7179684257944,166
06073006200,0.0011875,0.0,0.0,1.0,0.250296875,-0.5236682336308077,15939.97504179155,167
06073009510,0.000625,1.0,0.0,0.0,0.25015625,0.3850264884583687,1840.1928210403269,168
06073017037,0.0005625,0.0,0.0,1.0,0.250140625,-0.2074390103382829,1898.226869808373,169
06073009506,0.000375,0.0,1.0,0.0,0.25009375,-0.6147783199144157,2120.6157468026445,170
06073020106,0.000375,1.0,0.0,0.0,0.25009375,0.4055308373533982,1925.2955134376703,171
06073008374,0.00028125,0.0,1.0,0.0,0.2500703125,-1.6007816892368416,3781.406781416383,172
06073016810,0.00021875,1.0,0.0,0.0,0.2500546875,-0.5151637120896008,2080.9857744756428,173
06073003209,0.0001875,1.0,0.0,0.0,0.250046875,-0.0395137860464223,2975.516679250963,174
06073015602,0.0001875,0.0,0.0,1.0,0.250046875,-0.1146100140432484,2234.9044898824936,175
06073003114,0.0001875,1.0,0.0,0.0,0.250046875,-0.0494474776004681,2093.7970726283647,176
06073019301,3.125e-05,1.0,0.0,0.0,0.2500078125,-0.2345578507404871,2462.7799614396126,177
06073021501,3.125e-05,0.0,1.0,0.0,0.2500078125,-1.5277213243096492,2988.5715555475504,178
06073017306,3.125e-05,0.0,1.0,0.0,0.2500078125,-1.414054116647962,4561.418392931521,179
06073019803,0.0,0.0,0.0,1.0,0.25,0.6452988664204606,8104.102893173851,180
06073002501,0.0,1.0,0.0,0.0,0.25,1.2513328244038435,16439.031273857476,181
06073017308,0.0,0.0,1.0,0.0,0.25,0.3882499554834295,9957.061533170148,182
06073008337,0.0,0.0,1.0,0.0,0.25,-1.022799207836012,5616.445443466714,183
06073008336,0.0,0.0,1.0,0.0,0.25,-1.1736753843498229,6044.264996837356,184
06073008313,0.0,0.0,0.0,1.0,0.25,-1.0615035696949884,33571.731692912756,185
06073008310,0.0,0.0,1.0,0.0,0.25,-0.6250915543220728,5854.640095246057,186
06073008312,0.0,0.0,0.0,1.0,0.25,-0.4293613877056894,37690.72151971077,187
06073008306,0.0,1.0,0.0,0.0,0.25,-1.08869080123739,3399.7886793165085,188
06073017811,0.0,0.0,0.0,1.0,0.25,-0.7489263772683646,13517.298107188863,189
06073018516,0.0,0.0,0.0,1.0,0.25,-0.1853401079977682,7500.612435284028,190
06073018525,0.0,1.0,0.0,0.0,0.25,-0.7566294817611577,3098.334211891359,191
06073018523,0.0,1.0,0.0,0.0,0.25,-0.0887641404133444,10733.780452086634,192
06073018521,0.0,1.0,0.0,0.0,0.25,-0.0697602536303659,8244.235727519746,193
06073003108,0.0,1.0,0.0,0.0,0.25,-0.0703935642223417,3999.2218326985285,194
06073018509,0.0,1.0,0.0,0.0,0.25,1.5096230720326662,17830.20274569127,195
06073018510,0.0,1.0,0.0,0.0,0.25,1.047766164660012,14396.906244929423,196
06073018511,0.0,1.0,0.0,0.0,0.25,0.6809564514407653,23619.493403443917,197
06073018618,0.0,1.0,0.0,0.0,0.25,0.5009206565230607,7153.868416283825,198
06073003003,0.0,1.0,0.0,0.0,0.25,0.4087861801747146,4607.860446752663,199
06073018622,0.0,1.0,0.0,0.0,0.25,1.015854084223262,10281.170980438355,200
06073018621,0.0,1.0,0.0,0.0,0.25,-0.1911665003430574,14321.0931694457,201
06073003107,0.0,1.0,0.0,0.0,0.25,0.0483904061492389,4746.570536997322,202
06073003105,0.0,1.0,0.0,0.0,0.25,-0.0860322721269244,4230.9465064647675,203
06073003103,0.0,1.0,0.0,0.0,0.25,0.0150916736749134,4588.256841246989,204
06073003004,0.0,1.0,0.0,0.0,0.25,0.5834785233451485,6523.533546000168,205
06073018616,0.0,1.0,0.0,0.0,0.25,0.8850248588315551,13968.664566395613,206
06073019601,0.0,0.0,0.0,1.0,0.25,-0.0759221170113187,6480.339126779808,207
06073019305,0.0,1.0,0.0,0.0,0.25,0.1912295180727379,12923.66153668611,208
06073020019,0.0,1.0,0.0,0.0,0.25,0.8187835599807184,26520.786793441905,209
06073019903,0.0,0.0,0.0,1.0,0.25,-0.278144985919744,12947.47327030148,210
06073020015,0.0,1.0,0.0,0.0,0.25,-0.902736356970334,2477.2892358086788,211
06073019203,0.0,1.0,0.0,0.0,0.25,-0.4889919818401322,3196.7477968328876,212
06073018615,0.0,1.0,0.0,0.0,0.25,0.1305478156868749,12099.903881717495,213
06073020105,0.0,1.0,0.0,0.0,0.25,0.1558454579923403,8541.799345371266,214
06073020404,0.0,0.0,0.0,1.0,0.25,-0.1110867713890562,9197.920339735996,215
06073020708,0.0,0.0,0.0,1.0,0.25,-0.5439930050172767,4072.2357039859676,216
06073020806,0.0,0.0,0.0,1.0,0.25,0.4642239953428052,2744.7512583378216,217
06073020039,0.0,1.0,0.0,0.0,0.25,-0.660112639527198,16683.107661493726,218
06073020037,0.0,1.0,0.0,0.0,0.25,-0.0597166699139834,31177.151050142267,219
06073021800,0.0,0.0,1.0,0.0,0.25,-1.136262055845597,5805.807192129312,220
06073008365,0.0,0.0,0.0,1.0,0.25,-1.17349059785521,5599.69509127284,221
06073003213,0.0,1.0,0.0,0.0,0.25,-0.3833465828120472,3707.8876206082277,222
06073008368,0.0,0.0,1.0,0.0,0.25,-0.9719949433896576,5015.794305120677,223
06073008366,0.0,0.0,1.0,0.0,0.25,-1.3400835663139352,5113.486646781336,224
