GEOID,pareto_k
06073019405,1.174406670493037
06073019406,1.1734169033265176
06073019501,1.0863529183708318
06073019502,1.1743136147103803
06073019503,1.4969140177890874
06073019601,1.1908885162923772
06073019602,1.0391501223001014
06073019701,1.5505802324253721
06073019702,1.2927083343259482
06073019803,1.2344666309133574
06073019804,1.097690286759919
06073019805,0.8555508205206434
06073019808,1.1817996578675154
06073019809,1.3049325643519916
06073019810,1.230163978674762
06073019811,1.496660981392586
06073019902,0.9480656834565128
06073019903,1.2398761364194062
06073019904,1.3118852206185505
06073019905,1.0746023710563655
06073020015,1.2682757169707661
06073020017,1.1527272796539936
06073020019,1.2445858401929313
06073020021,1.5704586038839712
06073020023,1.2704892380843587
06073020024,0.9275832856470841
06073020025,1.3641209644690484
06073020026,1.2192073024576329
06073020028,1.1348214855229022
06073020029,1.08405847148305
06073020030,1.1492622576959903
06073020031,1.2454081312061729
06073020032,1.088534629241625
06073020033,2.1171029312609817
06073020034,1.0217757515397825
06073020035,1.1175484915171374
06073020036,0.9981863957718661
06073020037,1.459986760741717
06073020038,1.3326342566801352
06073020039,1.3190260184403535
06073020040,0.914023235073484
06073020041,1.0036685889814476
06073020042,1.2760613106145875
06073020043,3.3180572372151707
06073020044,1.1504862679257701
06073020105,1.0583730841209291
06073020106,1.1460298005912477
06073020107,1.0234936089706537
06073020108,0.8731826433941543
06073020109,0.8605791171419593
06073020110,1.118157620329394
06073020111,1.0918832575943997
06073020202,1.1376746267226543
06073020206,1.0655605492517506
06073020207,1.2419945540933879
06073020208,1.027999346228105
06073020209,1.0230720411166385
06073020210,1.077463251185561
06073020211,0.9909191764542084
06073020213,1.2435732076440478
06073020214,1.3091047366944961
06073020304,1.100023034779526
06073020305,1.133975854374117
06073020308,1.2130428237306685
06073020309,1.049811217697401
06073020310,1.1886115113938627
06073020311,0.8593475531563006
06073020312,4.511865214965141
06073020313,1.3526971168048738
06073020401,0.8832085037577672
06073020403,0.8945929912596254
06073020404,1.254828257220899
06073020405,1.0312445224881246
06073020500,1.3926722020496458
06073020601,1.0591473946052765
06073020602,1.3253775706569817
06073020705,1.0097828127142356
06073020706,1.2551158297425247
06073020707,1.0762110942232668
06073020708,0.855120583392309
06073020710,1.009560687851542
06073020711,0.9853020584431476
06073020712,1.2084329470492035
06073020801,1.1947979050758777
06073020805,1.2706716515896095
06073020806,1.184449881146621
06073020807,1.1280973610009957
06073020810,1.278835717923012
06073020811,1.1045149864125476
06073020812,1.0562425742542874
06073020813,1.0692937247950187
06073021204,1.2039959607139479
06073021205,1.6322356616517226
06073021206,1.2481235173005034
06073021304,1.0594993742769019
06073021305,1.2884612216622815
06073021306,1.148289153445639
06073021401,1.2139534173781814
06073021402,1.1227206534055876
06073021501,1.4145043644924171
06073021502,1.2130887054586081
06073021600,0.9823043304380814
06073021800,1.2356699837922258
06073021900,1.1684828542520804
06073022000,1.056419752657284
06073022101,1.7130072003138923
06073022102,1.1816296609807198
