GEOID,Jobs (LODES)_desert,Hospitals_desert,Groceries_desert,Schools_desert,n_deserts,multi_desert,disadvantage_z,posterior_mean_jobs
06073009109,False,False,False,False,0,False,-1.0832663218833178,26592.311716145436
06073009201,False,False,False,False,0,False,0.2523258454382785,27760.065262869834
06073009203,False,False,True,False,1,False,-0.1106674615150101,35868.07374905256
06073009204,False,False,True,False,1,False,-0.7801220850507806,8682.804875710848
06073009301,False,False,False,False,0,False,-0.0560020080012613,6102.7386965754595
06073009305,False,False,True,False,1,False,-0.2486707623881735,9341.263905027809
06073009306,False,True,True,True,3,True,-0.4145097963835941,5295.562229770653
06073009307,False,False,True,False,1,False,0.2136590879929822,36865.22757927124
06073009308,False,False,False,False,0,False,0.4535164579451375,61451.13145114742
06073009400,True,True,True,True,4,True,-0.247225361433311,701.7106495684673
06073009502,False,False,False,False,0,False,-0.6376067458361325,105711.03656542544
06073009505,True,True,True,True,4,True,-0.3452159715527154,666.0650332442149
06073009506,True,False,True,False,2,False,-0.6147783199144157,2120.6157468026445
06073009507,True,True,True,True,4,True,-0.3212876753377001,744.5624403166589
06073009509,False,False,False,False,0,False,-0.0386954775499185,12641.688042205695
06073009510,True,True,False,False,2,False,0.3850264884583687,1840.1928210403269
06073009511,False,True,True,True,3,True,0.1445946653763883,5557.270303134966
06073009602,False,False,False,True,1,False,-0.6513028789841887,12338.856169715553
06073009603,False,False,False,False,0,False,0.8425620433808115,41528.374010767024
06073009604,False,False,False,False,0,False,0.0590164564688962,12373.971666555457
06073009703,False,False,False,False,0,False,-0.4328808823353495,8960.652563205276
06073009704,True,True,True,False,3,True,-0.1087675787794107,3262.3270257540817
06073009705,True,False,False,True,2,False,-0.5951862997711812,3501.952543108947
06073009706,True,True,True,False,3,True,-0.225027830996964,2644.1265992768726
06073009801,False,False,False,False,0,False,-0.3321784066576881,8961.84936888082
06073009802,False,False,False,False,0,False,0.1194425578956844,16758.106831671685
06073009804,True,False,False,False,1,False,-0.4697618175258455,4107.570083586736
06073009805,True,True,True,True,4,True,-0.1986965729247281,413.038130783083
06073009901,True,True,True,True,4,True,-0.5236682336308077,367.30366911867077
06073009902,False,False,True,True,2,False,0.0,4531.351847036827
06073010001,False,False,False,False,0,False,-0.0309601657222379,14707.97163460244
06073010003,True,False,False,False,1,False,0.2111664434719952,3825.738883531709
06073010004,True,True,False,False,2,False,-0.0891150675051168,4336.98168343389
06073010005,False,True,False,False,1,False,1.7482325491284785,5634.988095197107
06073010009,True,False,False,False,1,False,0.4027390851103118,4155.758044675998
06073010010,False,False,False,False,0,False,0.789888497901342,8448.96814445994
06073010011,False,False,False,False,0,False,-0.2230097134999073,8049.636383474572
06073010012,False,True,False,False,1,False,0.5488821703308058,7862.267791281713
06073010013,False,False,False,False,0,False,0.5459329137142824,7205.599594509025
06073010015,False,True,True,True,3,True,-0.4354881846691845,12599.733628867716
06073010016,True,True,True,True,4,True,-0.5236682336308077,3064.3608077981894
06073010017,True,False,True,True,3,True,-0.1394989525591674,2313.891856545861
06073010018,True,False,True,True,3,True,-0.5908266039180824,2308.62085098205
06073010019,True,False,True,True,3,True,-0.5169517148073975,559.1088358680743
06073010103,True,False,False,False,1,False,1.2548984739588442,3802.2519236962253
06073010104,True,False,False,False,1,False,-0.1286864361683089,1740.7965767135279
06073010106,False,True,False,False,1,False,1.4659128319758503,8129.29322321277
06073010107,False,False,False,False,0,False,-0.1022537305925205,9494.522314574871
06073010109,True,True,True,False,3,True,-0.1997638526127572,901.5505069621202
06073010110,True,True,False,False,2,False,0.863940947096081,4151.533276951015
06073010111,False,True,False,False,1,False,0.6414534088844978,9096.561881953503
06073010112,True,True,False,False,2,False,1.1293577081466502,4053.3460078943262
06073010201,True,True,True,True,4,True,0.9481295092068492,632.8334216143928
06073010202,True,False,False,False,1,False,0.0370609090444649,3809.4905581439416
06073010300,False,False,False,False,0,False,0.9285440407741652,4593.732783225757
06073010401,False,False,False,False,0,False,0.1932213819686732,5080.512137979188
06073010402,False,False,False,False,0,False,1.011063454087669,4921.798969759659
06073010501,True,False,False,False,1,False,-0.1252479150110548,3804.7989865543414
06073010502,True,False,False,False,1,False,0.849586431717221,4318.592698160044
06073010601,True,True,True,True,4,True,-1.0614093515217984,314.2515206800138
06073010800,False,False,True,False,1,False,-0.331364850442566,5837.167497804586
06073010900,False,False,True,False,1,False,-0.933653095564708,5478.434998110237
06073011000,False,False,True,False,1,False,-0.2969312095542413,5836.815758082205
06073011100,False,False,True,False,1,False,-0.0556132765123359,5855.2083553257635
06073011300,False,False,True,False,1,False,-0.8783145859473563,5193.065434397721
06073011601,False,False,False,False,0,False,0.740991996317018,24919.15738350039
06073011602,False,False,False,False,0,False,0.82144158401477,24253.865717107987
06073011700,False,False,False,False,0,False,1.1786312910930334,24343.565826386777
06073011801,False,False,False,False,0,False,1.06499459160533,25560.953760923116
06073011802,False,False,False,False,0,False,0.7701920656149083,16638.369768301716
06073011902,False,False,False,False,0,False,0.6966612055523481,13583.534847151572
06073012002,False,False,False,False,0,False,2.178628191165715,13247.745872085223
06073012003,False,False,False,False,0,False,0.0282807418794155,12063.139636357846
06073012101,False,False,False,False,0,False,0.3201962119980954,15164.045094226729
06073012102,False,False,False,False,0,False,0.8568527050276109,14025.846136096914
06073012200,False,False,False,False,0,False,0.5562854105649757,7848.525317676166
06073012302,False,False,False,False,0,False,1.712331055532892,20286.348765077277
06073012303,False,False,False,False,0,False,0.713832338095772,13924.58838348276
06073012304,False,False,False,False,0,False,0.4035546868615536,18008.27338573023
06073012401,False,False,False,False,0,False,0.183100792657309,17662.737304112376
06073012402,False,False,False,False,0,False,0.6499977356884921,19602.445397205847
06073012501,False,False,False,False,0,False,1.9711206320553287,25582.916132422644
06073012502,False,False,False,False,0,False,0.7084391150634978,9038.805797784906
06073012600,False,False,False,True,1,False,0.475317189961545,12938.833895428954
06073012700,False,False,False,False,0,False,1.0294136680334882,27700.61611699861
06073012800,False,False,False,False,0,False,0.3600706178165711,20090.96737573861
06073012900,False,False,False,False,0,False,-0.24004026942706,20467.927942468406
06073013000,False,False,False,False,0,False,0.6867730795167798,25409.87237185338
06073013102,False,False,False,False,0,False,0.4924112008364218,20210.284508969944
06073013103,False,False,False,False,0,False,0.5883439119045519,22199.46533302083
06073013104,False,False,False,False,0,False,0.5831582027549915,24341.11911514056
06073013203,False,False,False,False,0,False,1.244196682357928,19136.07613536221
06073013204,False,False,False,False,0,False,0.4963454576806509,14537.124630802462
06073013205,False,False,False,False,0,False,0.494976978672007,12870.8357365391
06073013206,False,False,False,False,0,False,1.3078145143875972,17336.244021700066
06073013301,False,False,False,False,0,False,0.0302299952995572,11864.303329687957
06073013302,False,False,False,False,0,False,-0.1718510710794364,11027.984394710349
06073013303,False,False,False,False,0,False,0.2404211160702324,10962.495069133098
06073013306,True,False,False,False,1,False,0.3267956364116827,4428.595359101651
06073013307,True,True,True,True,4,True,0.6121646985981926,943.5055595363165
06073013308,False,False,False,False,0,False,0.0786802280575917,5957.538202019764
06073013309,False,False,False,False,0,False,-0.5858356997721289,10335.788245125574
06073013312,False,False,False,False,0,False,0.4408384422328084,6482.067919729268
06073013315,False,False,False,False,0,False,-0.4184011017697265,8145.044932807272
06073013316,False,False,False,False,0,False,-0.4526389172723733,10425.570326510358
06073013317,True,False,True,False,2,False,-0.4757439915294281,4470.527928745155
06073013318,False,False,False,False,0,False,-0.6942509557251677,7980.614772795781
06073013319,False,True,True,False,2,False,-0.4443210695475888,5690.1599783656475
06073013320,True,True,True,True,4,True,-0.4090360707420991,141.3605626174262
06073013321,False,True,True,False,2,False,-0.4280556418546267,4761.739775664404
06073013322,False,False,True,False,1,False,-0.9743829013259124,7649.109031164397
06073013323,False,False,False,False,0,False,-0.8123337134235878,5686.062244372099
06073013324,False,False,False,False,0,False,-0.6604257501911861,5493.32301849184
06073013325,False,False,True,False,1,False,0.3590157259526856,6327.449341297527
06073013326,False,False,True,False,1,False,-1.0578123052297332,9029.825908679179
06073013327,False,False,False,False,0,False,-0.1551772953072747,7248.028508693771
06073013401,False,False,False,False,0,False,-0.4050124068662324,12941.891916670751
06073013409,False,False,False,False,0,False,-0.2661536372552042,11615.943976009305
06073013411,True,True,True,False,3,True,-0.6658585014237673,3211.638057072279
06073013412,False,True,True,True,3,True,-0.3723106065078605,6962.16557300654
06073013414,False,False,True,False,1,False,-0.3703409510184549,10645.22299073284
06073013415,False,False,True,False,1,False,-0.7586068985789111,7125.555160655285
06073013416,False,False,True,False,1,False,-0.5571530847711564,4734.012957871396
06073013417,False,False,True,False,1,False,-0.6186156911987125,6512.765440690827
06073013418,False,False,True,False,1,False,0.3245680449637392,9654.594729900055
06073013420,False,False,True,False,1,False,-0.1537957845856626,6880.247104090004
06073013421,False,False,True,False,1,False,-0.4668753284260155,7898.004818896263
06073013422,True,True,True,True,4,True,-0.6342239823182487,959.6049320691394
06073013423,True,True,True,True,4,True,-0.5916791264801161,181.9353810360548
06073013424,False,False,True,False,1,False,-0.7768484882870424,8294.77948833621
06073013425,False,False,True,True,2,False,-1.05250743222512,5520.166907833082
06073013503,True,False,False,False,1,False,0.1213423618252318,3721.259730671789
06073013504,True,False,False,False,1,False,-0.6377479297244611,2427.592104376
06073013505,True,False,False,False,1,False,0.1072896174262101,4229.842100868487
06073013506,True,False,True,True,3,True,0.0785676270225487,1661.8766168851305
06073013601,True,False,False,False,1,False,0.1080756399289191,3359.1907839834007
06073013604,True,True,True,True,4,True,-0.2073476916739647,2184.9167493687332
06073013605,True,False,True,True,3,True,-0.696758417240488,2553.511980657413
