GEOID,rank_det,rank_bayes,rank_delta,jobs_C000_45min,posterior_mean_jobs,disadvantage_z,exceedance_prob_45min,ci_width_log1p
06073020405,573.0,575.0,2.0,3720.0,3719.470737476233,-0.7051323095616033,0.981125,0.3366843280722822
06073015705,232.0,230.0,-2.0,16380.0,16417.795420824234,0.8167291168562051,0.0,0.3328646105730595
06073010202,570.0,568.0,-2.0,3780.0,3809.4905581439416,0.0370609090444649,0.965375,0.3423351590914834
06073005500,21.0,23.0,2.0,77726.0,75664.56980591112,-0.5236682336308077,0.0,0.37181985381499594
06073017041,547.0,549.0,2.0,4292.0,4304.4304375101065,-0.6791658258692354,0.71934375,0.3400078160170654
06073017039,224.0,226.0,2.0,16681.0,16530.260825102006,-0.2949077523529294,0.00096875,0.3483926990046875
06073009108,108.0,110.0,2.0,26911.0,26578.917371156593,-0.0617485322005741,0.0,0.35404312247830916
06073003602,207.0,209.0,2.0,17731.0,17724.697919376347,0.8138740331048471,0.0,0.33701886763603284
06073005302,11.0,9.0,-2.0,85485.0,84920.95339621551,0.8531465466292896,0.0,0.35208997439003475
06073017036,488.0,486.0,-2.0,5784.0,5807.146658714206,-0.414044510446814,0.005,0.34081388131436086
06073017047,372.0,374.0,2.0,10305.0,10267.399706904436,-0.9993616840236552,9.375e-05,0.3441623304889099
06073019810,313.0,315.0,2.0,12765.0,12677.75827757774,0.4596310047830312,0.0,0.3449143861252981
06073005101,24.0,22.0,-2.0,76316.0,76119.54706555707,1.977559719051885,0.0,0.34000208244468944
06073005202,13.0,11.0,-2.0,83630.0,84137.50624968714,3.52175972061918,0.0,0.3450280100790568
06073017811,292.0,294.0,2.0,13609.0,13517.298107188863,-0.7489263772683646,0.0,0.3471075558634489
06073018520,587.0,585.0,-2.0,3382.0,3418.33272364123,-0.1169964979854437,0.99103125,0.35226271136380394
06073008357,314.0,312.0,-2.0,12760.0,12772.488418507652,0.4072306796024695,0.0,0.34922137785554774
06073017303,318.0,320.0,2.0,12582.0,12491.788116677162,-0.3710328829870737,0.0,0.3380679251403329
06073017601,554.0,556.0,2.0,4151.0,4154.392944691068,-0.4595465467000523,0.84928125,0.3371432528101259
06073017070,140.0,142.0,2.0,22980.0,22757.55651538551,-0.8711906467544731,0.0,0.3476533621650866
06073008701,116.0,118.0,2.0,25817.0,25601.055160689437,0.2742169094659764,0.0,0.3539851629369011
06073008365,492.0,494.0,2.0,5606.0,5599.69509127284,-1.17349059785521,0.01065625,0.3397495135355566
06073008507,431.0,429.0,-2.0,7892.0,7906.168492962859,0.2749494701560339,0.00015625,0.34227771716659383
06073017052,535.0,533.0,-2.0,4568.0,4591.2293068061135,-0.3474992763935903,0.351125,0.35032921353474755
06073017063,654.0,652.0,-2.0,1404.0,1424.5310945742297,-0.3331167423083012,0.99996875,0.36188703168169756
06073017061,623.0,625.0,2.0,2289.0,2290.3495232748623,-0.3260487373764227,0.99971875,0.33867004968922565
06073017051,189.0,191.0,2.0,19176.0,19029.016517796168,-0.4835676728529923,0.0,0.33708167177588777
06073008324,260.0,262.0,2.0,15065.0,14956.293366006277,-0.9172053514699048,0.0,0.3445441106061935
06073019702,428.0,426.0,-2.0,7947.0,7923.460317690176,-0.0531396415825916,0.00090625,0.3525081147929594
06073018101,151.0,153.0,2.0,21982.0,21843.022663088734,-0.1750219104428535,0.0,0.3378347460503779
06073019108,622.0,624.0,2.0,2317.0,2292.057577700438,0.0844399915551222,1.0,0.3382918812460174
06073007911,344.0,342.0,-2.0,11687.0,11758.322955287691,0.4770036234770701,0.0,0.3595237370014335
06073008328,668.0,670.0,2.0,927.0,937.923254000048,-1.3335094072813949,1.0,0.34401886892798306
06073008353,505.0,503.0,-2.0,5360.0,5382.252514205019,-0.3993639846960017,0.0166875,0.3355016194867062
06073008327,234.0,236.0,2.0,16308.0,16142.436725172935,-0.8399619892647144,6.25e-05,0.3585967062517579
06073019303,574.0,576.0,2.0,3708.0,3716.544623038783,-0.4176002406779028,0.978125,0.34752330870632697
06073018301,211.0,213.0,2.0,17629.0,17437.064039239754,0.1843407028901118,0.0,0.35024202254043857
06073007602,596.0,594.0,-2.0,3080.0,3118.6825123895937,0.879695363291029,0.99590625,0.35849688428550053
06073014602,284.0,286.0,2.0,14008.0,13928.693415395504,-0.4852283546574503,0.0,0.34612845802201697
06073001802,254.0,252.0,-2.0,15251.0,15342.225659572456,1.0016459679474792,0.0,0.35448197060620323
06073007401,268.0,266.0,-2.0,14726.0,14752.945069923217,0.613711790684122,0.0,0.34401891936649065
06073013326,392.0,394.0,2.0,9050.0,9029.825908679179,-1.0578123052297332,9.375e-05,0.34592596913809004
06073020807,699.0,701.0,2.0,415.0,417.75843253961307,-0.2688099521128949,1.0,0.3451677599715959
06073001202,158.0,156.0,-2.0,21601.0,21586.2153989568,0.5630022857282193,0.0,0.34494064441326877
06073013307,671.0,669.0,-2.0,925.0,943.5055595363165,0.6121646985981926,1.0,0.36467984052192914
06073015002,183.0,181.0,-2.0,19695.0,19655.200415221527,1.3737802554344858,0.0,0.33582465276361617
06073001600,153.5,152.0,-1.5,21846.0,21865.50685675237,1.298098315611432,0.0,0.34960638233539854
