GEOID,det_jobs,exceedance_prob,disadvantage_z,det_desert,bayes_desert,classification
06073008355,12512.0,0.00034375,-0.5590084172171331,False,False,TN
06073008356,7744.0,0.0003125,-0.1642199785815238,False,False,TN
06073008357,12760.0,0.0,0.4072306796024695,False,False,TN
06073008358,12549.0,3.125e-05,0.1205197741294094,False,False,TN
06073008359,21542.0,0.0,0.3512144403369293,False,False,TN
06073008360,20138.0,0.0,0.1496075585840449,False,False,TN
06073008361,53801.0,0.0,1.08729969140253,False,False,TN
06073008362,40447.0,0.0,0.0058811192112629,False,False,TN
06073008363,54918.0,0.0,2.2818062101018586,False,False,TN
06073008364,23564.0,0.0,1.3270345258862368,False,False,TN
06073008365,5606.0,0.01065625,-1.17349059785521,False,False,TN
06073008366,5120.0,0.0485625,-1.3400835663139352,False,False,TN
06073008367,5242.0,0.0275,0.0312474303065343,False,False,TN
06073008368,5005.0,0.06828125,-0.9719949433896576,False,False,TN
06073008369,22754.0,0.0,-0.782383902018227,False,False,TN
06073008370,21640.0,6.25e-05,-0.6241536205698922,False,False,TN
06073008371,48582.0,0.0,-0.6752741101156521,False,False,TN
06073008372,842.0,1.0,-1.0867482978304377,True,True,TP
06073008373,21489.0,0.0,-0.9738709831647846,False,False,TN
06073008374,3781.0,0.97171875,-1.6007816892368416,True,True,TP
06073008375,21539.0,0.0,0.9278717704465692,False,False,TN
06073008376,53495.0,0.0,-0.0394404138721962,False,False,TN
06073008377,54670.0,0.0,1.943880457995796,False,False,TN
06073008378,54602.0,0.0,2.261279041390285,False,False,TN
06073008379,54602.0,0.0,2.986305793867295,False,False,TN
06073008380,6109.0,0.00315625,0.1308225561743007,False,False,TN
06073008381,6224.0,0.00190625,-0.7981364751687264,False,False,TN
06073008501,6427.0,0.001375,-0.2996678596360542,False,False,TN
06073008502,9908.0,0.00015625,0.4853274288370821,False,False,TN
06073008503,10208.0,0.0,0.1060913843037857,False,False,TN
06073008504,8809.0,0.0,0.0127432111658382,False,False,TN
06073008505,5723.0,0.00853125,0.2357790350794334,False,False,TN
06073008506,7616.0,0.0005625,0.0296292934439967,False,False,TN
06073008507,7892.0,0.00015625,0.2749494701560339,False,False,TN
06073008509,8718.0,0.000125,0.0854286491259365,False,False,TN
06073008510,27445.0,0.0,0.7784691002600647,False,False,TN
06073008511,108218.0,0.0,-0.2077993089233007,False,False,TN
06073008512,8251.0,0.00025,0.0590616454551912,False,False,TN
06073008513,8426.0,9.375e-05,-0.4722026212566872,False,False,TN
06073008600,29841.0,0.0,0.5936147779837492,False,False,TN
06073008701,25817.0,0.0,0.2742169094659764,False,False,TN
06073008702,27949.0,0.0,0.389135131147795,False,False,TN
06073008800,36977.0,0.0,1.1178006778141911,False,False,TN
06073008901,35237.0,0.0,0.1012666245608461,False,False,TN
06073008902,29754.0,0.0,0.3091638675898656,False,False,TN
06073009000,32323.0,0.0,-0.2035795602023665,False,False,TN
06073009101,8474.0,6.25e-05,-0.1977458650938143,False,False,TN
06073009102,6962.0,0.00084375,0.8873376797707971,False,False,TN
06073009103,9374.0,9.375e-05,-0.4955585884944617,False,False,TN
06073009104,8431.0,0.00028125,-0.4666120397313889,False,False,TN
06073009107,33952.0,0.0,1.1785704906576246,False,False,TN
06073009108,26911.0,0.0,-0.0617485322005741,False,False,TN
06073009109,26824.0,0.0,-1.0832663218833178,False,False,TN
06073009201,27924.0,0.0,0.2523258454382785,False,False,TN
06073009203,36270.0,0.0,-0.1106674615150101,False,False,TN
06073009204,8704.0,0.000125,-0.7801220850507806,False,False,TN
06073009301,6073.0,0.00228125,-0.0560020080012613,False,False,TN
06073009305,9342.0,6.25e-05,-0.2486707623881735,False,False,TN
06073009306,5282.0,0.024625,-0.4145097963835941,False,False,TN
06073009307,37411.0,0.0,0.2136590879929822,False,False,TN
06073009308,62038.0,0.0,0.4535164579451375,False,False,TN
06073009400,698.0,1.0,-0.247225361433311,True,True,TP
06073009502,108469.0,0.0,-0.6376067458361325,False,False,TN
06073009505,659.0,1.0,-0.3452159715527154,True,True,TP
06073009506,2098.0,0.999875,-0.6147783199144157,True,True,TP
06073009507,733.0,1.0,-0.3212876753377001,True,True,TP
06073009509,12701.0,0.0,-0.0386954775499185,False,False,TN
06073009510,1816.0,0.99975,0.3850264884583687,True,True,TP
06073009511,5533.0,0.01171875,0.1445946653763883,False,False,TN
06073009602,12404.0,0.0,-0.6513028789841887,False,False,TN
06073009603,41866.0,0.0,0.8425620433808115,False,False,TN
06073009604,12404.0,0.0,0.0590164564688962,False,False,TN
06073009703,8971.0,0.0,-0.4328808823353495,False,False,TN
